Info,Info,Info,Info,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Count,Count,Rate,Rate
Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),Female,,,,,,,,,137.0,,,,,,,193.0,218.0,243.0,217.0,196.0,153.0,175.0,,,,,,,,,2.80145993392802,,,,,,,3.50178364166266,3.89334589681526,4.27290386370738,3.75810644775899,3.34418544259015,2.57407337774703,2.90653014279367,1532.0,191.5,27.05238874700316,3.381548593375395
Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),Male,,,,,,,,,691.0,,,,,,,354.0,580.0,684.0,501.0,286.0,234.0,228.0,,,,,,,,,13.8657045310024,,,,,,,5.98715611608164,7.06249789780336,8.36734997415428,5.76060519272268,4.834024365004,3.90502739735514,3.76327855507269,3558.0,444.75,53.54564402919618,6.693205503649523
Americas,Latin America and the Caribbean,Brazil,Female,3743.0,3851.0,3870.0,3938.0,3834.0,3886.0,4022.0,3776.0,4027.0,4265.0,4466.0,4516.0,4723.0,4767.0,4834.0,4619.0,4644.0,4931.0,4515.0,3731.0,3826.0,,4.21749377657694,4.27990353513086,4.244672812229,4.26602898235877,4.10411378799988,4.11148917614237,4.20784725326153,3.90823780558906,4.12549324269665,4.32636158676194,4.48633802834233,4.49311720557401,4.65545780348197,4.65680238305195,4.68073109843755,4.4336931092754,4.42011296834114,4.65461156254125,4.22704746113442,3.46544050446337,3.52896635491686,,88784.0,4227.809523809524,89.49396043830725,4.261617163728917
Americas,Latin America and the Caribbean,Brazil,Male,41600.0,44052.0,45787.0,47102.0,44535.0,43678.0,45080.0,43906.0,46042.0,47131.0,47777.0,47650.0,51591.0,51973.0,54786.0,53467.0,56465.0,58750.0,51334.0,40268.0,43780.0,,47.7478566994309,49.9267747437252,51.2711805547371,52.1509374704536,48.776838494302,47.3311604865194,48.3497149900671,46.6276471372888,48.4348020010762,49.1276114698583,49.3529255264436,48.7837257368087,52.3623556205048,52.3101980755699,54.6847318059814,52.9330696840691,55.4696580037466,57.2796254281036,49.6679151180033,38.6746814408662,41.7830668977251,,1006754.0,47940.666666666664,1043.046477385281,49.668879875489566
Americas,Latin America and the Caribbean,British Virgin Islands,Female,,0.0,0.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,0.0,0.0,9.21743939533597,8.86799982264,,8.20344544708778,,,,,,,,,,,,,,,,3.0,0.6,26.288884665063755,5.257776933012751
Americas,Latin America and the Caribbean,British Virgin Islands,Male,,1.0,1.0,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,9.44465432565168,9.21616515367955,8.98270828654839,26.2260687123,,8.2423243354626,,,,,,,,,,,,,,,,7.0,1.4,62.111920813642215,12.422384162728443
Americas,Latin America and the Caribbean,Cayman Islands,Female,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,,0.0,0.0,,,,,,,,4.95270169877668,4.7896161122686,,4.49276664570042,4.35464204842362,0.0,4.0983606557377,3.9803371345553,0.0,3.7638556937727,0.0,,,0.0,0.0,,,,,,,,7.0,0.5833333333333334,30.43227998923502,2.5360233324362516
Americas,Latin America and the Caribbean,Cayman Islands,Male,3.0,1.0,,2.0,4.0,3.0,0.0,1.0,4.0,7.0,9.0,,,5.0,5.0,,,,,,,,15.4102992166431,4.9563838223632,,9.25733064870745,17.9191398812857,13.0177258033022,0.0,4.07772136929884,15.8265411094405,26.8889486421081,33.5864758457261,,,17.1750480901347,16.748735470472,,,,,,,,44.0,3.6666666666666665,174.8643498994819,14.572029158290158
Americas,Latin America and the Caribbean,Chile,Female,,,,,,83.0,91.0,111.0,103.0,99.0,96.0,115.0,37.0,108.0,63.0,49.0,90.0,106.0,94.0,95.0,111.0,66.0,,,,,,1.01885526700606,1.10607475704035,1.33597414902057,1.22728283096258,1.17163641099804,1.12068629895042,1.32920801105577,0.423506366016064,1.22424487754122,0.706946971514918,0.54419193938457,0.987714532282325,1.14542604635075,0.997860915279432,0.990710111286467,1.1419332497836,0.672223510650618,1517.0,89.23529411764706,17.14447624512375,1.0084986026543383
Americas,Latin America and the Caribbean,Chile,Male,,,,,,493.0,499.0,505.0,485.0,531.0,445.0,521.0,397.0,448.0,375.0,370.0,530.0,673.0,731.0,656.0,815.0,642.0,,,,,,6.14030777638842,6.15496006214166,6.16831976618526,5.86532393881778,6.35219236673414,5.27377249241747,6.11372861229098,4.61349782796638,5.15644279110882,4.27323716574525,4.1732705853903,5.9073098501048,7.38393736885077,7.87605184618534,6.94150218339872,8.50734551874009,6.63564416885275,9116.0,536.2352941176471,103.53684432131892,6.090402607136407
